Name,ApplyLink,Eligibility,Stream,Mode,Amount,Address,Status
,,,,,,,
,,,,,,,
Foundation For Excellence (FFE),https://ffe.org/scholarships/,Undergraduate Students With Highest Scores,"Diploma, UG, PG, Professional (MBBS, BE/BTech, etc.)",online,"Up to Rs. 60,000 p.a.",,
Shraman Foundation Scholarship,https://www.shraman.org/scholarships,UG student enrolled into any IIT,"Diploma, UG, PG, Professional (MBBS, BE/BTech, etc.)",online,"Up to Rs. 70,000 p.a.",,
Tata Aig Girls Scholarship,https://tataaigcsr-avantifellows.org/,"Students From Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura, Bihar, Jharkhand, Punjab, Jammu & Kashmir, and Odisha.",Only Girls ,online,"Rs 80,000 to Rs. 1,60,000 p.a.",,
SDEF – Swami Dayanand Education,https://www.swamidayanand.org/scholarship-india,Student Must Have 65% or above Marks in 12th / CGPA of at least 6.5.,"Engineering, Medical, Architecture,& Other
undergraduate courses.",online,"Up to 50,000 p.a.",,
ONGC Foundation scholarship,https://ongcscholar.org/#/,"General, SC-ST,OBC& EWS Students & income below 2 lakh","UG,PG,Professional (MBBS,Engineering,MBA)",online,"48,000",,Available
GOI Post Matric Scholarship SC,https://mahadbt.maharashtra.gov.in/,SC students income below 2.5 lakh,"Diploma, UG, PG, Professional (MBBS, BE/BTech, etc.)",online,₹230 – ₹1200/month + fees,,Available
Post Matric Freeship SC,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AE0CB048159E784170A4F3BD768B3A64E4772B0EF7B9990B2,SC students Maharashtra resident,"Diploma, UG, PG, Professional",online,Full tuition + exam fees,,Available
Post Matric Scholarship OBC,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AB02E984835E89FEFDB316E301CE6A991F41C5D42B01A7D7E,OBC students income below 1 lakh,"Diploma, UG, PG, Professional",online,₹160 – ₹750/month + fees,,Available
Post Matric Scholarship VJNT,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AFD83FFC8C5199983E26D3BE9645241F26E1947ED73B2823D,VJNT students,"Diploma, UG, PG, Professional",online,₹160 – ₹750/month + fees,,Available
Tuition Fee and Exam Fee OBC,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A19A7691F3B40AD4EE0F3DDA5DE324AC54819922BB3D36B63,OBC students,"Diploma, UG, PG, Professional",online,Full tuition + exam fees,,Available
Rajarshi Shahu Maharaj Merit Scholarship,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51ADF0B5B3136AAAD4C06BEFD7079D45EBAADC7F5BA9DCAA1F3,Merit students Maharashtra,"UG (BA, BSc, BCom)",online,₹300/month (10 months),,Available
EBC Scholarship DTE,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A7F4D327BDEB7125DE0BA4AE1C51180C272281017EBEF6F7C,Economically backward class students,"Diploma, BE/BTech, Pharmacy, Architecture",online,"₹25,000 – ₹60,000/year",,Available
